fips,date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,fips_char,county
9001,2020-03-08,0,1309,0,89,0,182,,,157,0,90,943133,108,09001,Fairfield
9001,2020-03-09,0,1309,0,89,0,182,1.9690748064,1.0192903055,157,49,118,943056,135,09001,Fairfield
9001,2020-03-10,0,1309,0,89,0,182,1.9869314093,0.7254604137,157,111,153,942957,172,09001,Fairfield
9001,2020-03-11,1,1309,0,89,0,182,2.0019794777,0.5940993513,157,191,197,942829,220,09001,Fairfield
9001,2020-03-12,1,1309,0,89,0,182,2.0146177077,0.5211689762,157,293,253,942665,282,09001,Fairfield
9001,2020-03-13,2,1309,0,89,0,182,2.0262104095,0.5178224515,158,424,325,942453,363,09001,Fairfield
9001,2020-03-14,3,1309,1,89,0,182,2.0343692034,0.4750526917,158,592,418,942182,466,09001,Fairfield
9001,2020-03-15,4,1309,1,89,0,182,2.0387644691,0.4622368824,158,809,537,941833,599,09001,Fairfield
9001,2020-03-16,5,1309,1,89,1,182,2.0398667215,0.4445981815,158,1086,690,941385,769,09001,Fairfield
9001,2020-03-17,7,1309,2,89,1,182,2.0364304053,0.3532141174,158,1443,886,940810,987,09001,Fairfield
9001,2020-03-18,9,1309,3,89,1,182,2.027721765,0.3210870692,158,1901,1138,940072,1267,09001,Fairfield
9001,2020-03-19,12,1309,3,89,2,182,2.0136453621,0.2962830632,159,2488,1461,939127,1626,09001,Fairfield
9001,2020-03-20,16,1309,5,89,3,182,1.9938100092,0.3020090364,159,3241,1875,937914,2086,09001,Fairfield
9001,2020-03-21,20,1309,6,89,4,182,1.9681625353,0.2516777975,159,4206,2405,936360,2674,09001,Fairfield
9001,2020-03-22,26,1309,8,89,5,182,1.9395543883,0.2426157501,160,5444,3085,934371,3425,09001,Fairfield
9001,2020-03-23,34,1309,10,89,6,182,1.9018558704,0.1842163425,161,7029,3954,931826,4385,09001,Fairfield
9001,2020-03-24,43,1309,13,89,8,182,1.8593288402,0.1503048171,162,9056,5064,928583,5601,09001,Fairfield
9001,2020-03-25,56,1309,17,89,10,182,1.8132506614,0.1636064416,163,11621,6457,924617,7003,09001,Fairfield
