state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CT,2020-02-22,0,27.8476110208834,5.85396556168123,82.0723663254824,0,2.78476110208834e-14,5.85396556168123e-15,8.20723663254824e-14,3.99170755204406,2.82201763497198,5.40043293246989,0,0,0
CT,2020-02-23,0,27.8476110208834,5.85396556168123,82.0723663254824,0,5.87122230218084e-07,1.20871002853714e-07,1.73152090890993e-06,3.96574448151067,2.80001881868164,5.36843026832731,4.31083192946595,0.906198439728457,12.7048663893429
CT,2020-02-24,0,27.8476110208834,5.85396556168123,82.0723663254824,0,1.4090933525234e-05,2.90090406848913e-06,4.15565018138383e-05,3.93973390035875,2.77577095417867,5.33451611080528,19.9752095937295,4.19907434649839,58.8708567487329
CT,2020-02-25,0,27.8476110208834,5.85396556168123,82.0723663254824,0,7.92615010794413e-05,1.63175853852514e-05,0.000233755322702841,3.73027792428564,2.61547077736858,5.07448610252068,43.9482142106806,9.23854230417762,129.523998785564
CT,2020-02-26,0,27.8476110208834,5.85396556168123,82.0723663254824,0,0.000301780826332095,6.21276954668089e-05,0.000890001747179704,3.88758140010091,2.73502856170446,5.26984291437128,71.6385011528605,15.0594360975817,211.132700223976
CT,2020-02-27,0,27.8476110208834,5.85396556168123,82.0723663254824,0,0.000891838667701269,0.000183603053334791,0.00263018026063418,3.86144512596679,2.71491697595373,5.23182668020785,99.4861121737439,20.913401659263,293.205066549458
CT,2020-02-28,0,52.7911093281801,14.5934112182401,135.840711458547,0,0.00200296748838899,0.000412351426235444,0.00590708358074623,3.86127864194548,2.71477032873941,5.23177247347848,125.275268936626,26.3346507366612,369.210764829331
CT,2020-02-29,0,67.0603478843698,19.9348118605027,163.800983710321,0,0.00389725552480574,0.000802439145202924,0.0114938148202261,4.09354860080449,2.91521474260656,5.50789363839901,151.747417555786,32.6609352567976,443.237848406735
CT,2020-03-01,0,86.6447202209349,26.9935424169095,205.974170084638,0,0.00684701011042125,0.0014122521311828,0.0201702640905551,4.27084608011481,3.07113829433614,5.72734839897041,187.053484479883,42.7201521453206,530.418670234267
CT,2020-03-02,0,110.179365777341,36.7629836782869,252.935890374505,0,0.0111002912366042,0.00229665414116102,0.03264039604804,4.2957959521704,3.09040093486637,5.75561206140681,235.199788457531,56.5514242162329,642.729811791087
