Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,Connecticut,2020-08-02,48245,726,225,7234,4459,22,2020-08-02
North America,US,Connecticut,2020-08-03,48254,690,216,7235,4460,21,2020-08-03
North America,US,Connecticut,2020-08-04,48261,655,207,7236,4461,20,2020-08-04
North America,US,Connecticut,2020-08-05,48268,622,199,7237,4462,19,2020-08-05
North America,US,Connecticut,2020-08-06,48274,591,191,7238,4463,18,2020-08-06
North America,US,Connecticut,2020-08-07,48280,560,183,7239,4464,17,2020-08-07
North America,US,Connecticut,2020-08-08,48285,532,175,7240,4465,16,2020-08-08
North America,US,Connecticut,2020-08-09,48290,504,168,7241,4466,15,2020-08-09
North America,US,Connecticut,2020-08-10,48294,478,161,7241,4466,14,2020-08-10
North America,US,Connecticut,2020-08-11,48298,453,154,7242,4467,13,2020-08-11
North America,US,Connecticut,2020-08-12,48302,429,148,7243,4468,12,2020-08-12
North America,US,Connecticut,2020-08-13,48305,407,141,7243,4468,12,2020-08-13
North America,US,Connecticut,2020-08-14,48308,385,135,7244,4469,11,2020-08-14
North America,US,Connecticut,2020-08-15,48311,365,130,7244,4469,10,2020-08-15
North America,US,Connecticut,2020-08-16,48314,346,124,7244,4469,10,2020-08-16
North America,US,Connecticut,2020-08-17,48316,327,119,7245,4470,9,2020-08-17
North America,US,Connecticut,2020-08-18,48318,310,114,7245,4470,9,2020-08-18
North America,US,Connecticut,2020-08-19,48320,293,109,7245,4470,8,2020-08-19
North America,US,Connecticut,2020-08-20,48322,278,104,7246,4471,8,2020-08-20
North America,US,Connecticut,2020-08-21,48323,263,100,7246,4471,7,2020-08-21
North America,US,Connecticut,2020-08-22,48325,249,95,7246,4471,7,2020-08-22
North America,US,Connecticut,2020-08-23,48326,235,91,7246,4471,6,2020-08-23
North America,US,Connecticut,2020-08-24,48327,223,87,7246,4472,6,2020-08-24
North America,US,Connecticut,2020-08-25,48329,211,84,7247,4472,6,2020-08-25
North America,US,Connecticut,2020-08-26,48330,199,80,7247,4472,5,2020-08-26
North America,US,Connecticut,2020-08-27,48330,188,76,7247,4472,5,2020-08-27
North America,US,Connecticut,2020-08-28,48331,178,73,7247,4472,5,2020-08-28
North America,US,Connecticut,2020-08-29,48332,169,70,7247,4472,4,2020-08-29
North America,US,Connecticut,2020-08-30,48333,159,67,7247,4473,4,2020-08-30
North America,US,Connecticut,2020-08-31,48333,151,64,7247,4473,4,2020-08-31
North America,US,Connecticut,2020-09-01,48334,143,61,7247,4473,4,2020-09-01
North America,US,Connecticut,2020-09-02,48334,135,58,7247,4473,3,2020-09-02
North America,US,Connecticut,2020-09-03,48335,128,56,7248,4473,3,2020-09-03
North America,US,Connecticut,2020-09-04,48335,121,53,7248,4473,3,2020-09-04
North America,US,Connecticut,2020-09-05,48336,114,51,7248,4473,3,2020-09-05
North America,US,Connecticut,2020-09-06,48336,108,49,7248,4473,3,2020-09-06
North America,US,Connecticut,2020-09-07,48336,102,47,7248,4473,2,2020-09-07
North America,US,Connecticut,2020-09-08,48337,96,44,7248,4473,2,2020-09-08
North America,US,Connecticut,2020-09-09,48337,91,43,7248,4473,2,2020-09-09
North America,US,Connecticut,2020-09-10,48337,86,41,7248,4473,2,2020-09-10
North America,US,Connecticut,2020-09-11,48337,81,39,7248,4473,2,2020-09-11
