cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,30,0,0,1,0,0,,2020-03-01,0-1
0,0.15,0,8.2,8.64,0.05,0.01,7,1,0,0.35,0,0.7,0,14.55,1,,0.12,22.87,0,4.98,0,0,0,0,30,0,0.27,1,13.3,0,,2020-03-02,0-1
0.01,0.71,0.02,33.34,22.23,0,0.04,7,1,0.01,2,0,12.03,0.02,36.86,1,,0.84,57.44,0,19.97,0.01,0.01,0,0,30,0,1.96,1,52.13,0,,2020-03-03,0-1
0.03,1.87,0.08,87.71,46.01,1.51,0.15,7,1,0.03,3.91,0,7.73,0.1,74.04,1,,3.4,115.47,0,53.15,0.05,0.03,0.01,0.04,30,0,6.69,1,135.63,0.01,,2020-03-04,0-1
0.09,3.74,0.21,181.01,80.51,3.78,0.37,7,1,0.1,7.84,0.01,15.95,0.32,111.3,1,,8.98,133.83,0.01,115.51,0.18,0.07,0.03,0.11,30,0,17.51,1,261.99,0.04,,2020-03-05,0-1
0.22,6.61,0.45,306.74,122.59,7.89,0.75,7,1,0.26,14.28,0.02,27.57,0.8,138.25,1,,19.02,147.21,0.03,217.59,0.45,0.15,0.07,0.24,30,0,37.26,1,402.18,0.1,,2020-03-06,0-1
0.46,10.55,0.83,453.33,146.25,14.33,1.32,7,1,0.55,21.9,0.05,42.57,1.67,153.02,1,,35.11,159.93,0.07,357.41,0.97,0.27,0.14,0.45,30,0,68.59,1,555,0.23,,2020-03-07,0-1
0.86,0,1.38,612.12,156.7,23.86,2.17,7,1,1.03,29.56,0.09,61.55,3.07,164.54,1,,58.73,172.54,0.15,508.99,1.85,0.44,0.24,0.81,30,0,114.29,1,720.35,0.44,,2020-03-08,0-1
1.47,21.21,2.1,782.38,167.08,36.2,3.37,7,1,1.82,43.4,0.15,85.19,5.32,175.97,1,,90.03,185.04,0.28,671,3.2,0.66,0.38,1.13,30,0,177.61,1,898.13,0.79,,2020-03-09,0-1
2.37,27.73,3.06,964.03,177.38,51.84,4.96,7,1,2.95,57.55,0.24,114.61,8.67,187.31,1,,131.86,197.43,0.49,843.37,5.16,0.96,0.57,1.65,30,0,262.41,1,1088.23,1.32,,2020-03-10,0-1
3.64,34.6,4.29,1156.97,187.62,71.28,7.04,7,1,4.52,75.85,0.36,151.32,13.39,198.56,1,,185.75,209.72,0.82,1026.02,7.89,1.33,0.83,2.3,30,0,373.58,1,1290.55,2.09,,2020-03-11,0-1
5.37,44.28,5.87,1361.12,197.78,94.21,9.72,7,1,6.62,97.33,0.53,197.07,19.87,209.72,1,,254.94,221.9,1.3,1218.88,11.56,1.81,1.15,3.12,30,0,517.33,1,1504.98,3.18,,2020-03-12,0-1
7.69,53.9,7.86,1576.59,207.87,122.4,13.15,7,1,8.96,124.21,0.74,255.15,28.56,221.72,1,,342.87,237.54,1.99,1421.88,16.42,2.4,1.56,4.12,30,0,701.56,1,1731.42,4.66,,2020-03-13,0-1
10.74,66.48,10.36,1805.44,217.89,155.89,17.52,7,1,11.84,159.44,1.02,330.27,40.06,236.53,1,,454.16,315.44,2.94,1634.95,22.76,3.14,2.08,5.37,30,0,938,1,1969.77,6.66,,2020-03-14,0-1
14.7,82.84,13.53,2053.13,227.84,195.69,23.1,7,1,15.35,204.31,1.38,426.97,55.09,261.14,1,,595.62,414.69,4.23,1858.01,30.95,4.09,2.73,6.9,30,0,1241.85,1,2296.15,9.29,,2020-03-15,0-1
19.82,102.41,17.55,2330.4,237.72,243.82,30.29,7,1,19.6,261.62,1.85,549.81,74.64,294.79,1,,775.74,539.74,5.97,2091.01,41.48,5.4,3.55,8.8,30,0,1631.9,1,2771.07,12.73,,2020-03-16,0-1
26.45,125.35,22.67,2650.38,247.53,302.46,39.51,7,1,24.75,333.97,2.45,700.71,100.01,348.38,1,,1005.29,692.51,8.28,2333.86,55,7.04,4.57,11.13,30,0,2129.26,1,3385.05,17.18,,2020-03-17,0-1
35.76,151.71,29.17,3036.05,267.17,374.37,50.94,7,1,31.02,422.67,3.18,856.7,132.68,427.21,1,,1296.16,850.21,11.3,2589.02,72.3,9.13,5.84,13.99,30,0,2747.08,1,4158.79,22.92,,2020-03-18,0-1
49.12,185.11,37.21,3507.95,277.35,460.93,63.45,7,1,38.65,516.25,4.09,916.46,173.72,515.12,1,,1655.62,908.24,15.21,2897.38,94.35,11.77,7.41,17.51,30,0,3429,1,5042.91,30.34,,2020-03-19,0-1
69.9,223.37,46.51,4059.11,299.25,564.86,75.11,7,1,47.93,587.52,5.21,892.92,221.66,581.53,1,,2070.38,886.55,20.2,3287.95,121.96,15.01,9.3,21.8,30,0,3970.01,1,5831.02,40.18,,2020-03-20,0-1
100.34,266.31,56.25,4659.33,309.81,687.38,89.07,7,1,59.1,621.13,6.61,806.28,271.87,614.58,1,,2505.1,797.7,26.6,3640.67,155.3,18.66,11.48,26.89,30,0,4294.62,1,6433.49,53.55,,2020-03-21,0-1
141.26,313.59,65.71,5281.5,320.28,829.21,97.18,7,1,72.4,632.66,8.33,835.28,321.02,625.09,1,,2928.46,827.62,34.91,3955.72,193.73,22.41,13.91,32.82,30,0,4497.26,1,6933.1,71.64,,2020-03-22,0-1
193.38,365.13,74.3,5897.55,347.79,990.83,100.92,7,1,88.01,608.56,10.41,774.59,369.14,601.93,1,,3314.27,764.91,46.34,4286.26,236.09,26.14,16.51,39.58,30,0,4639.88,1,7425.43,95.65,,2020-03-23,0-1
257.47,421.26,81.34,6478.49,406.09,1172.55,102.63,7,1,106.03,564.2,12.86,743.82,422.99,558.47,1,,3634.81,736.92,63.88,4662.85,280.75,29.94,19.22,47.05,30,0,4749.33,1,7908.8,126.88,,2020-03-24,0-1
334.26,411.35,86.63,7015.1,410.57,1374.55,103.27,7,1,126.6,521.39,15.62,723.71,471.6,516.61,1,,3885.43,716.03,90.8,5099.45,325.79,33.99,22,55.1,30,0,4837.44,1,8374.85,166.43,,2020-03-25,0-1
424.2,391.82,90.37,7516.13,389.14,1594.68,106.97,7,1,149.72,491.37,18.69,741.29,514.29,487.33,1,,4079.48,734.89,111.7,5597.56,369.52,38.4,24.86,63.08,30,0,4909.94,1,8830.93,214.87,,2020-03-26,0-1
527.32,370.9,92.8,7991.98,368.57,1828.37,114.81,7,1,175.27,468.4,20.9,697.66,550.64,464.93,1,,4231.13,692.38,136.96,6155.66,410.73,43.04,27.79,69.75,30,0,4970.1,1,9280.25,272.37,,2020-03-27,0-1
643.29,358.23,94.04,8447.81,360.92,2069.32,121.76,7,1,202.92,449.43,22.93,648.59,580.57,447.96,1,,4348.27,639.71,167.36,6769.51,448.49,47.57,30.79,70.33,30,0,5020.2,1,9724.39,338.91,,2020-03-28,0-1
771.39,351,94.29,8890.91,370.23,2310.21,125.39,7,1,232.14,436.06,24.96,692.64,604.43,439.55,1,,4438.38,684.87,203.21,7432.53,482.14,51.77,33.86,70.64,30,0,5061.9,1,10164.24,414.26,,2020-03-29,0-1
910.63,346.34,93.82,9328.9,374.46,2543.01,126.68,7,1,262.24,427.6,27.04,727.03,622.97,437.16,1,,4509.25,720.25,244.43,8135.98,511.33,55.64,36.96,70.73,30,0,5096.53,1,10600.35,498,,2020-03-30,0-1
