model_team,pointNA,target_end_date
epiforecasts.ensemble1,4337,2020-06-20
epiforecasts.ensemble1,4472,2020-06-27
SWC.TerminusCM,4348,2020-07-04
epiforecasts.ensemble1,4592,2020-07-04
CovidActNow.SEIR_CAN,,2020-07-11
SWC.TerminusCM,4376,2020-07-11
epiforecasts.ensemble1,4702,2020-07-11
CovidActNow.SEIR_CAN,,2020-07-18
SWC.TerminusCM,4396,2020-07-18
CovidActNow.SEIR_CAN,,2020-07-25
SWC.TerminusCM,4410,2020-07-25
COVIDhub.ensemble,4428,2020-08-01
CU.nochange,4442,2020-08-01
CU.scenario_high,4442,2020-08-01
CU.scenario_low,4444,2020-08-01
CU.scenario_mid,4443,2020-08-01
CU.select,4442,2020-08-01
Covid19Sim.Simulator,4413.29383772868,2020-08-01
CovidAnalytics.DELPHI,4419,2020-08-01
DDS.NBDS,4423.1074,2020-08-01
GT.DeepCOVID,4448.9153,2020-08-01
IowaStateLW.STEM,4442,2020-08-01
JCB.PRM,4422.72299657281,2020-08-01
JHU_IDD.CovidSP,4432.10666666667,2020-08-01
MITCovAlliance.SIR,4428.611,2020-08-01
MOBS.GLEAM_COVID,4447.59850652208,2020-08-01
NotreDame.mobility,4425.70618270618,2020-08-01
OliverWyman.Navigator,4433.5229,2020-08-01
PSI.DRAFT,4427,2020-08-01
USACE.ERDC_SEIR,4459.57582314291,2020-08-01
UT.Mobility,4424,2020-08-01
CovidActNow.SEIR_CAN,,2020-08-01
SWC.TerminusCM,4420,2020-08-01
Auquan.SEIR,4522,2020-08-08
COVIDhub.baseline,4451,2020-08-08
Geneva.DetGrowth,4448.63720703125,2020-08-08
IHME.CurveFit,4482.05308659741,2020-08-08
Karlen.pypm,4448.2,2020-08-08
LANL.GrowthRate,4501.50282237903,2020-08-08
UA.EpiCovDA,4445,2020-08-08
UCLA.SuEIR,4452.16842823846,2020-08-08
UMass.MechBayes,4446,2020-08-08
UMich.RidgeTfReg,4478.20012305017,2020-08-08
USC.SI_kJalpha,4457,2020-08-08
YYG.ParamSearch,4449.88661357932,2020-08-08
COVIDhub.ensemble,4447,2020-08-08
CU.nochange,4484,2020-08-08
CU.scenario_high,4487,2020-08-08
CU.scenario_low,4482,2020-08-08
CU.scenario_mid,4483,2020-08-08
CU.select,4487,2020-08-08
Covid19Sim.Simulator,4423.92841794951,2020-08-08
CovidAnalytics.DELPHI,4423,2020-08-08
DDS.NBDS,4431.8838,2020-08-08
GT.DeepCOVID,4502.6486,2020-08-08
IowaStateLW.STEM,4457,2020-08-08
JCB.PRM,4431.28204531216,2020-08-08
JHU_IDD.CovidSP,4458.16666666667,2020-08-08
MITCovAlliance.SIR,4443.347,2020-08-08
MOBS.GLEAM_COVID,4476.6335725434,2020-08-08
NotreDame.mobility,4434.18692418692,2020-08-08
OliverWyman.Navigator,4462.201453,2020-08-08
PSI.DRAFT,4440,2020-08-08
USACE.ERDC_SEIR,4517.72422006857,2020-08-08
UT.Mobility,4436,2020-08-08
CovidActNow.SEIR_CAN,,2020-08-08
SWC.TerminusCM,4428,2020-08-08
Auquan.SEIR,4589,2020-08-15
