date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-02-27,CT,0,2.85377428457708,2.82133769284757,2.42893223625908,3.39804341280645,19.0089084908089,0,0,0,0,,,
2020-02-28,CT,1,2.84485678285994,2.80168054272774,2.39497018785956,3.34099971240527,0.379663146012192,0,0,0,0,,,
2020-02-29,CT,2,2.8392452942245,2.82131002225323,2.33697480975488,3.26125205684334,5.38655681938678,0,0,0,0,,,
2020-03-01,CT,3,2.8371320655698,2.81258158522995,2.35474237418751,3.26237144339196,10.3236098914497,0,0,0,0,,,
2020-03-02,CT,4,2.82464531931952,2.80275075880768,2.354926534571,3.23158477974614,11.9908513898038,0,0,0,0,,,
2020-03-03,CT,5,2.80745156436492,2.79786347199258,2.37974246423406,3.19710261249384,14.210040463111,0,0,0,0,,,
2020-03-04,CT,6,2.79783701469342,2.77201809024787,2.35873279266457,3.15216346149242,17.9712245290402,1.22398304034676,0,0,0,,,
2020-03-05,CT,7,2.77549052084219,2.75006679889885,2.38034935310974,3.13455141253579,22.6473224493783,1.91446760815386,0,0,0,,,
2020-03-06,CT,8,2.74710810542431,2.72655630607242,2.41728546674381,3.11720486702319,28.2772010651396,2.50254296071054,0,0,0,,,
2020-03-07,CT,9,2.71007249572936,2.68427169933877,2.40007408142014,3.08549347100831,35.2877460175319,3.28645466201623,0,0,0,0,0,0
2020-03-08,CT,10,2.66494943043711,2.64383683860249,2.33605183757131,2.98668187551967,44.0110273260645,4.36717140514402,1.35323694118833,1,38,30,1,0
2020-03-09,CT,11,2.61862256582838,2.59741521110097,2.22255604265222,2.84034109485981,54.7423606468622,5.54909743213213,0,0,9,17,0,0
2020-03-10,CT,12,2.56411132339268,2.55128808244065,2.23052934226488,2.81149766398396,67.8380813162763,7.15950262212651,1.35323694118833,1,9,9,1,0
2020-03-11,CT,13,2.49072975905067,2.47879909595634,2.20781745415257,2.75533063313557,83.7260986246184,8.91996001501948,1.35323694118833,1,18,18,1,0
2020-03-12,CT,14,2.42251420386809,2.41690142377662,2.15490023233377,2.65415669551376,102.855553066254,11.2079172824818,4.059710823565,3,21,21,3,0
2020-03-13,CT,15,2.35110840862915,2.34011130406772,2.12352140830513,2.5879623462445,125.574422026631,14.1507002392201,0,0,10,10,0,0
2020-03-14,CT,16,2.2759956300802,2.26478218786452,2.05305813174484,2.48714057683608,152.269473624557,17.6522722986065,6.76618470594167,5,31,31,5,0
2020-03-15,CT,17,2.19502760753665,2.19116474633625,1.99983524475206,2.39092015270556,183.367798576748,22.0764755933499,12.179132470695,9,9,9,9,0
2020-03-16,CT,18,2.11324951668262,2.1103996452763,1.86613091494575,2.26197768034305,219.178544188543,27.5401561208464,8.11942164713,6,6,6,6,0
2020-03-17,CT,19,2.02913447525398,2.02641261452128,1.84734449959337,2.19897540758276,259.823186167878,34.3360360036089,20.298554117825,15,15,15,15,0
2020-03-18,CT,20,1.94752627067109,1.93944577563448,1.77355980520738,2.09369387275672,305.248218562659,42.5606599665024,36.537397412085,27,27,27,27,0
2020-03-19,CT,21,1.86700321127129,1.86179679947172,1.70322273922648,2.02242382412433,355.360650285856,52.6111406112432,37.8906343532734,28,507,507,28,1
2020-03-20,CT,22,1.78935668374331,1.78097023311026,1.61567961505297,1.92177463478401,409.795929602861,64.7714213210857,132.617220236457,98,98,98,98,2
2020-03-21,CT,23,1.71438689798451,1.70998680365202,1.57194990008189,1.8671245090007,468.098425693731,79.3425481555515,0,0,1502,1502,0,1
2020-03-22,CT,24,1.64437553061797,1.64628934552113,1.493528151567,1.779295020308,529.61409600247,96.6463909096065,39.2438712944617,29,800,800,29,1
2020-03-23,CT,25,1.57681450770158,1.57223133756126,1.4403858194178,1.71715326705685,593.528360730581,117.02829807764,259.82149270816,192,1400,1400,192,5
2020-03-24,CT,26,1.51308885741054,1.51021389141505,1.3768735372904,1.64392488965788,659.022882791288,140.749076165701,274.707099061232,203,800,800,203,2
2020-03-25,CT,27,1.45267387112189,1.44440153766901,1.31986952637168,1.57470396298911,725.166505010089,168.063002404147,347.781893885402,257,598,598,257,7
2020-03-26,CT,28,1.39446542065055,1.39111336778609,1.25393340292044,1.49069148961071,790.902609634081,199.16859549801,185.393460942802,137,739,739,137,2
2020-03-27,CT,29,1.34055965317284,1.3377599707559,1.21866329227377,1.44015611591449,855.145962077581,234.181948848628,377.553106591545,279,1763,1763,279,6
2020-03-28,CT,30,1.28986684264651,1.28478401202221,1.18353357351297,1.40527936129799,916.749368911511,273.098103584669,0,0,0,0,0,0
2020-03-29,CT,31,1.24170253897544,1.2389994430586,1.12208394829851,1.33303556382782,974.656592681196,315.837601101807,867.97614936765,702,3500,3500,702,7
2020-03-30,CT,32,1.19653969618992,1.19487145883576,1.10291667339359,1.3129874047241,1027.9474612478,362.188251910737,782.170952006857,578,2700,2700,578,2
2020-03-31,CT,33,1.15467380998308,1.15458763100927,1.0450700850225,1.23848898086304,1075.73578281763,411.862986831291,753.752976241902,557,1557,1557,557,33
2020-04-01,CT,34,1.11654571106193,1.11690864411205,1.01602137960126,1.20283811491953,1117.2147258335,464.432307666754,580.538647769795,429,443,443,429,16
2020-04-02,CT,35,1.08150106124553,1.07964565370072,0.979164205551155,1.16580032553497,1151.87729319743,519.384277337923,361.314263297285,267,1700,1700,267,27
2020-04-03,CT,36,1.04919632952082,1.04908794012243,0.947326192424056,1.13044058222105,1179.50718354701,576.09099450394,1475.02826589528,1090,1715,1715,1090,19
2020-04-04,CT,37,1.01931093167045,1.01779855639669,0.927154717253936,1.10575731316032,1200.07631227038,633.859105803772,489.871772710177,362,2014,2014,362,34
2020-04-05,CT,38,0.990562981192193,0.987814002456849,0.914255429487652,1.08836506787099,1213.64958103841,691.917638723245,539.941539534145,399,1241,1241,399,24
2020-04-06,CT,39,0.965782018770756,0.964022351354216,0.882159000206289,1.04892428762326,1220.37960466092,749.468587761776,1559.47678744509,1231,3416,3416,1231,17
2020-04-07,CT,40,0.943798991131346,0.94500880575637,0.852331853136483,1.0173768424756,1220.40437714699,805.679764652914,1184.08232353979,875,2350,2350,875,71
2020-04-08,CT,41,0.920445400641446,0.921428415995791,0.843983361337082,0.99763427820383,1214.16024154717,859.738206705818,0,0,0,0,0,0
2020-04-09,CT,42,0.89893277220386,0.898584331499041,0.81371531560102,0.969288340528734,1202.35842766596,910.867166803478,1940.89014278885,2003,4466,4466,2003,103
2020-04-10,CT,43,0.88068015741,0.87771083379665,0.807415926293917,0.957388129667186,1185.28505202026,958.372748890851,1020.340653656,754,2786,2786,754,68
2020-04-11,CT,44,0.862570300596518,0.857763336150967,0.784266416431685,0.931660157942314,1163.16714016628,1001.63804055164,1187.22719577416,972,3543,3543,972,46
2020-04-12,CT,45,0.848006713391632,0.846892688079589,0.776501922385935,0.915823344399855,1136.73725831417,1040.16880493737,710.449394123875,525,1389,1389,525,60
2020-04-13,CT,46,0.831810087720757,0.829866875173528,0.755370374243802,0.899077616164491,1106.70075331211,1073.55651077237,1821.4569228395,1346,3089,3089,1346,48
2020-04-14,CT,47,0.820139348086679,0.818026276143624,0.751258280803513,0.892716098841344,1073.74569950146,1101.50674026372,822.768060242507,608,1532,1532,608,69
2020-04-15,CT,48,0.806596177234196,0.802370612313801,0.724330001676959,0.866108493479861,1038.3135799702,1123.84633257854,770.543368967283,766,4302,4302,766,197
