countyFIPS,CountyName,StateName,Severity County 5-day,date,predicted_deaths,range_high,range_low
9001,Fairfield,CT,3,2020-08-02,1413.7,1422,1406
9001,Fairfield,CT,3,2020-08-03,1421.5,1437,1406
9001,Fairfield,CT,3,2020-08-04,1429.4,1453,1406
9001,Fairfield,CT,3,2020-08-05,1437.7,1470,1406
9001,Fairfield,CT,3,2020-08-06,1446.2,1486,1406
9001,Fairfield,CT,3,2020-08-07,1454.8,1504,1406
9001,Fairfield,CT,3,2020-08-08,1463.5,1525,1406
9003,Hartford,CT,3,2020-08-02,1417.9,1424,1412
9003,Hartford,CT,3,2020-08-03,1423.8,1435,1412
9003,Hartford,CT,3,2020-08-04,1429.9,1448,1412
9003,Hartford,CT,3,2020-08-05,1436.1,1461,1412
9003,Hartford,CT,3,2020-08-06,1442.4,1474,1412
9003,Hartford,CT,3,2020-08-07,1448.5,1490,1412
9003,Hartford,CT,3,2020-08-08,1454.3,1503,1412
9005,Litchfield,CT,2,2020-08-02,138,138,138
9005,Litchfield,CT,2,2020-08-03,138,138,138
9005,Litchfield,CT,2,2020-08-04,138,138,138
9005,Litchfield,CT,2,2020-08-05,138,138,138
9005,Litchfield,CT,2,2020-08-06,138,138,138
9005,Litchfield,CT,2,2020-08-07,138,138,138
9005,Litchfield,CT,2,2020-08-08,138,138,138
9007,Middlesex,CT,3,2020-08-02,191.5,193,191
9007,Middlesex,CT,3,2020-08-03,191.8,193,191
9007,Middlesex,CT,3,2020-08-04,192.1,193,191
9007,Middlesex,CT,3,2020-08-05,192.4,195,191
9007,Middlesex,CT,3,2020-08-06,192.7,195,191
9007,Middlesex,CT,3,2020-08-07,193,196,191
9007,Middlesex,CT,3,2020-08-08,193.3,196,191
9009,New Haven,CT,3,2020-08-02,1105.3,1110,1101
9009,New Haven,CT,3,2020-08-03,1109.5,1119,1101
9009,New Haven,CT,3,2020-08-04,1113.6,1127,1101
9009,New Haven,CT,3,2020-08-05,1117.5,1133,1101
9009,New Haven,CT,3,2020-08-06,1121.1,1138,1104
9009,New Haven,CT,3,2020-08-07,1124.4,1144,1103
9009,New Haven,CT,3,2020-08-08,1127.2,1151,1103
9011,New London,CT,2,2020-08-02,103,104,103
9011,New London,CT,2,2020-08-03,103,104,103
9011,New London,CT,2,2020-08-04,103,104,103
9011,New London,CT,2,2020-08-05,103,104,103
9011,New London,CT,2,2020-08-06,103,104,103
9011,New London,CT,2,2020-08-07,103,104,103
9011,New London,CT,2,2020-08-08,103,104,103
9013,Tolland,CT,2,2020-08-02,66.3,67,66
9013,Tolland,CT,2,2020-08-03,66.4,67,66
9013,Tolland,CT,2,2020-08-04,66.6,67,66
9013,Tolland,CT,2,2020-08-05,66.7,67,66
9013,Tolland,CT,2,2020-08-06,66.9,67,66
9013,Tolland,CT,2,2020-08-07,67,68,66
9013,Tolland,CT,2,2020-08-08,67.2,68,66
9015,Windham,CT,1,2020-08-02,15,15,15
9015,Windham,CT,1,2020-08-03,15,15,15
9015,Windham,CT,1,2020-08-04,15,15,15
9015,Windham,CT,1,2020-08-05,15,15,15
9015,Windham,CT,1,2020-08-06,15,15,15
9015,Windham,CT,1,2020-08-07,15,15,15
9015,Windham,CT,1,2020-08-08,15,16,15
